rank,person,telegram_username,telegram_messages,discord_username,discord_messages,x_posts,articles,videos,total,first,last,telegram_distinct_days,verified_activity_days_min,public_groups,identity_note,summary_tier,activity_summary
1,Kui He / motoengineer,@kuixihe,44234,motoengineer,17758,0,15,30,62037,2020-05-16,2026-07-11,1368,1368,6,Telegram human account; exact public Discord identity mapping,over_5000,"Entre mayo de 2020 y julio de 2026 acumuló 62.037 contribuciones verificadas: 44.234 mensajes de Telegram, 17.758 de Discord, 15 artículos y 30 vídeos. Su actividad combina soporte cotidiano con trabajo entregado: lanzó Koinos Forum, reactivó AMAs, cofundó y operó BurnKoin y KAP, cofundó Koinos-Social, mantuvo nodos y produjo una biblioteca educativa de treinta vídeos antes de integrarse en la Koinos Community Foundation. Habló de minería, mana, gobernanza, seguridad de dApps, liquidez y financiación; defendió que los cambios difíciles de revertir debían evaluarse por su impacto colectivo y resumió el trabajo menos visible con la frase “Builders are laying foundation, you might not always see it”. En 2024-2025 también propuso escenarios explícitos de financiación e interoperabilidad y debatió si la infraestructura debía mantenerse incluso en un declive del ecosistema. Su volumen refuerza una continuidad ya demostrada por productos, operación y educación, pero no convierte en autoría suya el código que pertenece a Luke Willis, Roamin u otros colaboradores."
2,G Millie / DeGemsCrew,@DeGemsCrew,36303,,0,0,0,0,36303,2021-11-07,2026-06-26,1154,1154,8,Telegram human account; Discord not individually inventoried,over_5000,"Entre noviembre de 2021 y junio de 2026 registró 36.303 mensajes, principalmente en Koinos Army. Fue organizador, administrador, anfitrión de AMAs e impulsor del producto NFT de la comunidad, además de enlace con DeGems Lounge; no fue el fundador técnico, artista ni desarrollador del contrato de Koinos Army Journey. Sus conversaciones se concentraron en mercado, KoinDX, NFTs, liquidez y coordinación comunitaria, y sostuvo que las prioridades y la financiación a corto plazo debían presentarse a la comunidad para votación. También dejó una memoria crítica de la etapa posterior a Koinos Group, describiendo la falta de desarrollo, awareness, exchanges y dinero como una situación “bleak”. La cifra muestra que sostuvo el espacio social durante años, mientras que las atribuciones de Glen, Eman, Adem y MiXiBo deben conservarse por separado."
3,Koinos The Goat,@KoinosTheGoat,24885,,0,0,0,1,24886,2021-03-05,2026-06-09,1434,1434,5,Telegram human account; Discord not individually inventoried,over_5000,"Entre marzo de 2021 y junio de 2026 reunió 24.886 contribuciones, casi todas mensajes, más su vídeo independiente The Chronicles of Koinos. Creó la persona Koinos The Goat y su metáfora de las comisiones, organizó y corrigió copy comunitario, explicó mana, inflación, wallets, claims y dApps, apareció en The Koin Press y más tarde relacionó mana con permisos para agentes de IA. En sus intervenciones insistió en que “Mana is WORTHLESS. That is why it is so valuable”, propuso hablar de game tokens en lugar de reducir todo a meme tokens y fue cada vez más crítico con la incapacidad del proyecto para alcanzar el mercado. Su papel fue narrativa económica, soporte y cultura comunitaria: él mismo dijo “I am not a dev”, y no existe código, cargo empresarial ni autoría del protocolo atribuible a su volumen."
4,Diamond Hands,@diamondhands12345,21385,,0,0,0,0,21385,2023-08-17,2025-09-17,744,744,7,Telegram human account; Discord not individually inventoried,over_5000,"Entre agosto de 2023 y septiembre de 2025 publicó 21.385 mensajes en los grupos principal, Army y TCB. Su actividad fue sobre todo conversación de mercado y seguimiento de wallets, NFTs y dApps, pero en 2025 se convirtió también en una voz insistente en el debate sobre fondos comunitarios, mantenimiento de desarrolladores y el puente Vortex. Planteó que los dos problemas centrales eran la falta de desarrolladores capaces de mantener la cadena y la economía del token, y pidió decidir públicamente si el KOIN y USDT donados debían ir al fondo de desarrollo y a la interoperabilidad. El registro demuestra una participación cuantitativa y deliberativa muy alta, no la autoría de Vortex, contratos, wallets o decisiones de la Fundación."
5,Carlos Welele,@Weleleliano,18338,,0,0,0,0,18338,2021-03-08,2026-06-26,1187,1187,8,Telegram human account; Discord not individually inventoried,over_5000,"Entre marzo de 2021 y junio de 2026 aportó 18.338 mensajes en inglés y español, con fuerte presencia en el grupo principal, Koinos Army y Koinos Hispano. Actuó como explicador bilingüe, moderador práctico y operador de flujos de difusión de Koinos Socials: orientó claims, wallets sin custodia, seguridad, puentes, exchanges y dApps, y denunció grupos falsos o contactos sospechosos. Sus mensajes discutieron cómo Kondor, Konio y otras interfaces podían esconder fricción —por ejemplo, cubrir mana desde otra cuenta al mover todo un saldo— y presentó el ecosistema español como una sucesión de productos, integraciones y eventos que había que traducir para usuarios no técnicos. Parte de su volumen incluye retransmisión de anuncios y conversación social; por ello se reconoce su infraestructura comunicativa sin atribuirle la autoría de los productos que explicaba."
6,Andrew Levine,@andrarchy,11430,andrarchy,4667,11,11,0,16119,2019-11-18,2026-02-11,1009,1009,9,Telegram human account; exact public Discord identity mapping,over_5000,"Entre noviembre de 2019 y febrero de 2026 suma 16.119 contribuciones verificadas, incluidas 4.667 intervenciones en Discord, 11 publicaciones de X y 11 artículos inventariados. Como fundador y principal comunicador inicial explicó OpenSeed/OpenOrchard, el fair launch, la arquitectura modular, mana, gobernanza y la misión de una experiencia fee-less, además de coordinar campañas y relación con desarrolladores. En 2022 decía que la gobernanza estaba completa, KoinDX ya funcionaba en testnet y una stablecoin sería una buena oportunidad; en 2023 subrayó que tres años de trabajo reunían aportes de Kondor, KoinDX, Roamin, Kollection, KAP y Koiner, no solo del equipo fundador. Su actividad mezcla diseño narrativo, decisiones de producto, soporte y reconocimiento de terceros, y debe distinguirse de la implementación técnica concreta de Steve, Michael, Julián u otros autores."
7,Saleh Hawi,@saleh_hawi,12180,,0,0,0,0,12180,2023-01-06,2026-04-07,748,748,5,Telegram human account; Discord not individually inventoried,over_5000,"Entre enero de 2023 y abril de 2026 registró 12.180 mensajes, especialmente en el grupo principal, Army y KoinDX. Fue organizador, moderador, operador de soporte y colaborador de producto y negocio de KoinDX, y coordinó una campaña comunitaria para conseguir nuevas listas en exchanges; no fue uno de los cofundadores originales ni el autor de los contratos del DEX. Explicó cómo entrar en ventas y marketplaces, cómo mover KOIN entre CEX, wallets y puentes, cómo funcionaban Fogata y los NFT de apoyo, y por qué una primera experiencia Web3 sin gas podía ser más comprensible para nuevos usuarios. También advirtió sobre imitaciones, preventas inexistentes y mensajes privados, de modo que su volumen refleja onboarding y seguridad además de promoción de mercado."
8,VonLooten,@von9000,9063,VonLooten,2327,0,5,0,11395,2021-06-30,2024-04-13,790,790,5,Telegram human account; exact public Discord identity mapping,over_5000,"Entre junio de 2021 y abril de 2024 acumuló 11.395 contribuciones verificadas, incluidas 2.327 de Discord y cinco artículos. Como cofundador y CEO original de KoinDX dirigió estrategia, comunicación, documentación, KNDX/KOINDX, el DAO propuesto, IDO, launchpad, pares oficiales, partnerships y soporte, con trabajo de producto adicional. Explicó que los pares debían añadirse mediante gobernanza y controles de seguridad, que los NFT de apoyo eran donaciones opcionales sin utilidad especial y que el DEX fee-less podía cambiar la experiencia DeFi. También discutió el valor del token nativo y los límites de dApps sin una razón económica real. El código principal de los contratos AMM no debe atribuirse automáticamente a él: Ederaleng era CTO y existe evidencia técnica más fuerte para su implementación."
9,Techno🔮,@T5chn0,9968,,0,0,0,0,9968,2021-01-31,2024-11-04,850,850,4,Telegram human account; Discord not individually inventoried,over_5000,"Entre enero de 2021 y noviembre de 2024 publicó 9.968 mensajes, casi todos en el grupo principal. Fue una voz de mercado y soporte muy constante: siguió minería y grandes holders, explicó cómo comprar o puentear activos, orientó sobre Kondor, Koiner, KoinDX y MEXC, promocionó campañas y recordó a los recién llegados que los miembros del equipo no iniciaban mensajes privados. Defendió públicamente el trabajo no remunerado de Julián y utilizó el NFT de Kondor como ejemplo de apoyo directo a un desarrollador. Su posición en esta lista procede de conversación, ayuda y amplificación, no de un producto, repositorio o cargo formal verificado."
10,Steve Gerbino,@sgerbino,5873,Steve,3520,0,0,0,9393,2020-10-06,2026-03-22,507,507,6,Telegram human account; exact public Discord identity mapping,over_5000,"Entre octubre de 2020 y marzo de 2026 suma 9.393 contribuciones, con 5.873 mensajes de Telegram y 3.520 de Discord. Como fundador y CTO explicó desde el fair launch que la frecuencia de pruebas afectaba al gasto de ETH y la varianza, no al hardware; después cubrió arquitectura, releases, nodos, Proof of Burn, KCS, upgrades y soporte a operadores. En 2025 defendió que KCS-4 podía permitir listados automáticos seguros de tokens y NFTs y llegó a proponer una nueva cadena que conservara WASM, recursos, Proof of Burn, StateDB y account abstraction, pero eliminara gobernanza y microservicios para priorizar velocidad. Ese último planteamiento es una posición de diseño posterior, no un milestone ya entregado de Koinos. Su volumen sí acompaña una función técnica fundacional y sostenida, aunque la autoría de cada componente debe seguir el historial de repositorios."
